item_sno,material_no
fYQNzmDeRslyeofWZ2MZf,11
fYQNzmDeRslyeofWZ2MZf,7
fYQNzmDeRslyeofWZ2MZf,2
fv50vw8uVdRmztaB5WIEa,11
fv50vw8uVdRmztaB5WIEa,7
fv50vw8uVdRmztaB5WIEa,12
ffy28EhtLLxsivM8SBRYZ,5
ffy28EhtLLxsivM8SBRYZ,6
ffy28EhtLLxsivM8SBRYZ,9
ffy28EhtLLxsivM8SBRYZ,4
fXrJchJzO7EiJjazTyJBO,7
fXrJchJzO7EiJjazTyJBO,4
f0n9sTy3mVJ3oxERVOufa,11
f0n9sTy3mVJ3oxERVOufa,7
f0n9sTy3mVJ3oxERVOufa,12
falubBhOowT8WQrYJjqPu,10
falubBhOowT8WQrYJjqPu,11
falubBhOowT8WQrYJjqPu,3
fJF59YeUjdjZj689rEBKx,8
fPQoW54pbC6mqHbhla4iB,7
fPQoW54pbC6mqHbhla4iB,9
fPQoW54pbC6mqHbhla4iB,8
fbThKoK6HSvLKt5KxzmBz,6
fbThKoK6HSvLKt5KxzmBz,12
fPpStmu3qJTFGBWTaqXVP,10
fPpStmu3qJTFGBWTaqXVP,3
fPpStmu3qJTFGBWTaqXVP,13
f1CHcL19zvyHRu7TFRwZq,10
f1CHcL19zvyHRu7TFRwZq,11
f1CHcL19zvyHRu7TFRwZq,3
fS03uIcd4Tt0JKI7qk9dC,11
fS03uIcd4Tt0JKI7qk9dC,7
fS03uIcd4Tt0JKI7qk9dC,8
fH3RoyNgB0ah0eC6UMnL3,7
fH3RoyNgB0ah0eC6UMnL3,9
fzZfDW9u6SG4rbxQfdKg0,8
fHOxBb4VWfy2fF53X779R,10
fHOxBb4VWfy2fF53X779R,1
fHOxBb4VWfy2fF53X779R,7
f0j9YWBhZVd1FmDb7T2Am,10
f0j9YWBhZVd1FmDb7T2Am,1
f0j9YWBhZVd1FmDb7T2Am,2
fkIwhKSDoubiTZ2mOthda,9
fkIwhKSDoubiTZ2mOthda,8
fYFd9UYbmfQsPVpByD1tL,11
fYFd9UYbmfQsPVpByD1tL,9
fYFd9UYbmfQsPVpByD1tL,12
f4trV95c0QxDF3skGBqDP,11
f4trV95c0QxDF3skGBqDP,12
f4trV95c0QxDF3skGBqDP,8
f8G4utc1jbqgKEzCtJYuv,1
f8G4utc1jbqgKEzCtJYuv,9
fEbeIPzya7EJGGH5ozp6m,7
fEbeIPzya7EJGGH5ozp6m,9
fEbeIPzya7EJGGH5ozp6m,12
fsuZnXKqf7dhXpJKBCnfB,3
fmRInLacpuTqUPGciKOor,1
fmRInLacpuTqUPGciKOor,7
fmRInLacpuTqUPGciKOor,2
fC3PiNWfVJ3KlFGrErB3u,11
fC3PiNWfVJ3KlFGrErB3u,9
fC3PiNWfVJ3KlFGrErB3u,16
fZVUEGUMjJuLTtN3GvHTq,11
fZVUEGUMjJuLTtN3GvHTq,7
fZVUEGUMjJuLTtN3GvHTq,12
fNg1VYbTX65it1748G44g,11
fNg1VYbTX65it1748G44g,1
fNg1VYbTX65it1748G44g,12
fIKA4behlzLUt6rIQsK0B,8
fD6vBNYV9Ypq6za0bE2sl,11
fD6vBNYV9Ypq6za0bE2sl,1
fD6vBNYV9Ypq6za0bE2sl,7
fBP4jQ14qHvIemW9877Cj,11
fc8GAiw5sMaivBXFbLIoQ,9
fc8GAiw5sMaivBXFbLIoQ,12
f73WAB9kRi4ksHnwQzsnC,11
fRwddcF4RWZsjBwXSGjAy,1
fRwddcF4RWZsjBwXSGjAy,12
fRwddcF4RWZsjBwXSGjAy,2
frGcubqaqeMmGcoQmI4vq,3
frGcubqaqeMmGcoQmI4vq,4
f05C8ZXZjHZrZaeUB8eYN,5
f05C8ZXZjHZrZaeUB8eYN,6
f05C8ZXZjHZrZaeUB8eYN,2
fOeIhAcrDOKgx8gpV1q67,11
fOeIhAcrDOKgx8gpV1q67,3
fOeIhAcrDOKgx8gpV1q67,2
fDzPEsTSn5tidn4HxCnhN,11
fDzPEsTSn5tidn4HxCnhN,7
fDzPEsTSn5tidn4HxCnhN,2
fsJN17rx44WJbWEljfZX4,8
fiiayczyaQqfHxVDBC0Jn,11
fiiayczyaQqfHxVDBC0Jn,7
fiiayczyaQqfHxVDBC0Jn,2
fwPziVrThTJheqZ6iYRNC,11
fwPziVrThTJheqZ6iYRNC,12
fwPziVrThTJheqZ6iYRNC,8
fybtm2Hve26Y9cXqANP4h,1
fybtm2Hve26Y9cXqANP4h,3
fybtm2Hve26Y9cXqANP4h,2
foC37FduQx4O31HG8N0yN,15
foC37FduQx4O31HG8N0yN,11
foC37FduQx4O31HG8N0yN,7
fJbNQBQMvIlxM78O35RkI,1
fJbNQBQMvIlxM78O35RkI,7
fJbNQBQMvIlxM78O35RkI,8
fmsAxK9FPgU7QxAdjGsxh,11
fmsAxK9FPgU7QxAdjGsxh,5
fmsAxK9FPgU7QxAdjGsxh,9
fHUSsQmG5FFUvaJ8r4z5d,10
fHUSsQmG5FFUvaJ8r4z5d,5
fHUSsQmG5FFUvaJ8r4z5d,6
fwxydujXuW5ZDsKJe4CPH,9
fwxydujXuW5ZDsKJe4CPH,8
fKVNI2OZD923g6WYrCs9t,8
fqvB226vGq18C3Bdx3zrL,10
fqvB226vGq18C3Bdx3zrL,11
fqvB226vGq18C3Bdx3zrL,1
f4lTN9E0MLxzYdRc7g4YP,11
f4lTN9E0MLxzYdRc7g4YP,1
f4lTN9E0MLxzYdRc7g4YP,2
f2wD9bN6zHS57YGaoVqL3,11
f2wD9bN6zHS57YGaoVqL3,12
f2wD9bN6zHS57YGaoVqL3,2
fRfCrKJo0Om9LyErWeAdv,1
fZtUcJw5L7tGTUDaoiklw,11
fZtUcJw5L7tGTUDaoiklw,12
fZtUcJw5L7tGTUDaoiklw,2
f7getZIkRd0WzBmEZnvLK,11
f7getZIkRd0WzBmEZnvLK,8
fULU3Ek5pFXh4WTtMbt5Y,5
fULU3Ek5pFXh4WTtMbt5Y,6
fULU3Ek5pFXh4WTtMbt5Y,2
fgQd6Fhfkm6MRQfNhNhMn,1
fgQd6Fhfkm6MRQfNhNhMn,7
fgQd6Fhfkm6MRQfNhNhMn,2
fa5iNr4Eocw5eeP7cNY64,7
fa5iNr4Eocw5eeP7cNY64,9
fa5iNr4Eocw5eeP7cNY64,12
fkUCtdLIlS1sP7MsQO3cn,11
fkUCtdLIlS1sP7MsQO3cn,1
f52cnirqj8rd1kyc9EC4x,11
f52cnirqj8rd1kyc9EC4x,12
f52cnirqj8rd1kyc9EC4x,8
